date,cmc_price,cmc_rank
2022-06-02,59.90000000,72
2022-06-03,58.10000000,72
2022-06-04,58.70000000,72
2022-06-05,58.70000000,72
2022-06-06,60.20000000,72
2022-06-07,58.70000000,72
2022-06-08,58.10000000,72
2022-06-09,57.80000000,72
2022-06-10,53.90000000,72
2022-06-11,49.10000000,73
2022-06-12,46.40000000,72
2022-06-13,41.90000000,72
2022-06-14,43.50000000,70
2022-06-15,45.80000000,70
2022-06-16,41.60000000,71
2022-06-17,43.70000000,70
2022-06-18,41.70000000,71
2022-06-19,44.20000000,70
2022-06-20,45.60000000,70
2022-06-21,47.10000000,71
2022-06-22,45.30000000,72
2022-06-23,48.70000000,72
2022-06-24,52.10000000,71
2022-06-25,52.20000000,71
2022-06-26,49.60000000,72
2022-06-27,49.30000000,73
2022-06-28,46.20000000,74
2022-06-29,44.40000000,74
2022-06-30,41.80000000,74
2022-07-01,42.10000000,74
2022-07-02,42.90000000,74
2022-07-03,42.80000000,74
2022-07-04,44.50000000,74
2022-07-05,43.20000000,75
2022-07-06,44.30000000,76
2022-07-07,46.10000000,76
2022-07-08,46.40000000,75
2022-07-09,47.90000000,74
2022-07-10,45.20000000,75
2022-07-11,41.60000000,75
2022-07-12,40.30000000,75
2022-07-13,42.30000000,74
2022-07-14,43.80000000,74
2022-07-15,43.30000000,74
2022-07-16,44.90000000,76
2022-07-17,46.30000000,76
2022-07-18,48.70000000,75
2022-07-19,50.00000000,76
2022-07-20,47.50000000,76
2022-07-21,48.00000000,75
2022-07-22,48.40000000,76
2022-07-23,47.70000000,76
2022-07-24,49.00000000,76
2022-07-25,45.30000000,74
2022-07-26,43.90000000,75
2022-07-27,48.00000000,76
2022-07-28,52.40000000,76
2022-07-29,51.20000000,72
2022-07-30,50.50000000,77
2022-07-31,51.20000000,78
2022-08-01,49.40000000,78
2022-08-02,49.00000000,77
2022-08-03,48.70000000,77
2022-08-04,49.60000000,77
2022-08-05,52.00000000,77
2022-08-06,52.70000000,78
2022-08-07,53.40000000,77
2022-08-08,56.00000000,76
2022-08-09,52.80000000,75
2022-08-10,54.40000000,76
2022-08-11,55.50000000,75
2022-08-12,56.10000000,76
2022-08-13,56.90000000,76
2022-08-14,55.10000000,76
2022-08-15,53.30000000,78
2022-08-16,52.50000000,78
2022-08-17,52.90000000,77
2022-08-18,50.40000000,76
2022-08-19,44.70000000,74
2022-08-20,45.70000000,76
2022-08-21,46.80000000,76
2022-08-22,47.20000000,77
2022-08-23,48.50000000,74
2022-08-24,49.20000000,74
2022-08-25,49.30000000,74
2022-08-26,43.90000000,75
2022-08-27,45.20000000,75
2022-08-28,44.20000000,74
2022-08-29,47.60000000,73
2022-08-30,45.70000000,73
2022-08-31,44.40000000,74
2022-09-01,44.70000000,76
2022-09-02,45.60000000,75
2022-09-03,46.80000000,74
2022-09-04,47.40000000,73
2022-09-05,47.70000000,72
2022-09-06,43.00000000,72
2022-09-07,45.20000000,73
2022-09-08,46.30000000,74
2022-09-09,48.88000000,73
2022-09-10,48.76000000,77
2022-09-11,48.41000000,78
2022-09-12,47.01000000,78
2022-09-13,43.87000000,78
2022-09-14,45.53000000,77
2022-09-15,43.89000000,76
2022-09-16,43.70000000,75
2022-09-17,44.54000000,75
2022-09-18,40.19000000,76
2022-09-19,40.87000000,77
2022-09-20,40.65000000,77
2022-09-21,39.90000000,76
2022-09-22,41.93000000,75
2022-09-23,42.21000000,76
2022-09-24,41.66000000,77
2022-09-25,41.04000000,77
2022-09-26,41.54000000,77
2022-09-27,41.69000000,75
2022-09-28,41.26000000,76
2022-09-29,42.23000000,76
2022-09-30,42.00000000,76
2022-10-01,41.77000000,75
2022-10-02,39.99000000,75
2022-10-03,41.27000000,75
2022-10-04,42.33000000,75
2022-10-05,42.14000000,75
2022-10-06,42.08000000,75
2022-10-07,42.25000000,75
2022-10-08,42.29000000,74
2022-10-09,42.96000000,74
2022-10-10,41.91000000,73
2022-10-11,41.17000000,74
2022-10-12,41.78000000,74
2022-10-13,40.43000000,74
2022-10-14,40.22000000,74
2022-10-15,40.54000000,74
2022-10-16,41.76000000,72
2022-10-17,41.62000000,73
2022-10-18,40.80000000,76
2022-10-19,39.60000000,79
2022-10-20,39.70000000,79
2022-10-21,40.59000000,80
2022-10-22,40.85000000,80
2022-10-23,41.70000000,81
2022-10-24,40.05000000,82
2022-10-25,41.42000000,81
2022-10-26,42.12000000,82
2022-10-27,41.51000000,82
2022-10-28,42.49000000,81
2022-10-29,42.85000000,81
2022-10-30,41.91000000,81
2022-10-31,42.01000000,81
2022-11-01,41.11000000,82
2022-11-02,40.82000000,83
2022-11-03,41.73000000,84
2022-11-04,44.54000000,84
2022-11-05,45.52000000,84
2022-11-06,43.82000000,83
2022-11-07,45.84000000,82
2022-11-08,38.45000000,80
2022-11-09,32.13000000,81
2022-11-10,36.84000000,79
2022-11-11,35.70000000,80
2022-11-12,33.67000000,79
2022-11-13,33.38000000,78
2022-11-14,34.45000000,80
2022-11-15,34.26000000,80
2022-11-16,33.81000000,81
2022-11-17,33.77000000,81
2022-11-18,34.27000000,81
2022-11-19,35.56000000,80
2022-11-20,34.58000000,79
2022-11-21,34.59000000,77
2022-11-22,37.15000000,74
2022-11-23,43.50000000,71
2022-11-24,42.07000000,72
2022-11-25,40.54000000,73
2022-11-26,41.05000000,72
2022-11-27,40.62000000,72
2022-11-28,39.99000000,72
2022-11-29,43.25000000,72
2022-11-30,43.31000000,72
2022-12-01,45.55000000,71
2022-12-02,45.66000000,70
2022-12-03,45.08000000,70
2022-12-04,44.84000000,70
2022-12-05,47.00000000,70
2022-12-06,46.28000000,70
2022-12-07,44.02000000,70
2022-12-08,45.24000000,71
2022-12-09,46.69000000,69
2022-12-10,46.45000000,70
2022-12-11,46.61000000,70
2022-12-12,48.77000000,70
2022-12-13,48.17000000,69
2022-12-14,48.92000000,68
2022-12-15,46.56000000,68
2022-12-16,43.32000000,70
2022-12-17,43.25000000,70
2022-12-18,42.53000000,70
2022-12-19,41.30000000,68
2022-12-20,42.07000000,67
2022-12-21,42.46000000,67
